JC133875,01/29/2019 09:00:00 AM,003XX S WESTERN AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,Y,Y,1125,27,08B,1160451,1898423,41.87697283,-87.68633554,"(41.87697283, -87.68633554)"
JC129038,01/25/2019 08:45:00 AM,016XX W JACKSON BLVD,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,HOTEL/MOTEL,Y,N,1231,27,26,1165553,1898694,41.877609409,-87.667594837,"(41.877609409, -87.667594837)"
JC130680,01/26/2019 02:00:00 PM,056XX W ROOSEVELT RD,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESTAURANT,N,N,1513,29,11,1139006,1894121,41.865584176,-87.765180641,"(41.865584176, -87.765180641)"
JC107463,01/04/2019 07:59:00 PM,027XX N MILWAUKEE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,BAR OR TAVERN,Y,N,1412,35,26,1153804,1917985,41.93078766,-87.710219712,"(41.93078766, -87.710219712)"
JC107272,01/06/2019 02:45:00 PM,025XX S MICHIGAN AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,HOSPITAL BUILDING/GROUNDS,Y,N,133,4,08A,1177647,1887564,41.846801978,-87.623527134,"(41.846801978, -87.623527134)"
JC101959,01/02/2019 03:31:00 PM,027XX N DRAKE AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,RESIDENCE-GARAGE,Y,N,1412,35,03,1152246,1917957,41.930741754,-87.715945805,"(41.930741754, -87.715945805)"
JC154749,01/09/2019 10:00:00 AM,005XX E 90TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,633,9,26,1181338,1845421,41.731073247,-87.611280355,"(41.731073247, -87.611280355)"
JC155341,01/31/2019 07:00:00 AM,048XX S CHICAGO BEACH DR,0460,BATTERY,SIMPLE,APARTMENT,N,N,222,4,08B,1187888,1873183,41.807101267,-87.586402447,"(41.807101267, -87.586402447)"
JC134849,01/29/2019 04:30:00 PM,072XX S COLES AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,334,7,05,1194420,1857700,41.764456674,-87.562954355,"(41.764456674, -87.562954355)"
JC109929,01/08/2019 08:30:00 PM,042XX W WILCOX ST,031A,ROBBERY,ARMED: HANDGUN,ABANDONED BUILDING,Y,N,1115,28,03,1148126,1898998,41.878796732,-87.731574779,"(41.878796732, -87.731574779)"
JC117456,01/14/2019 09:00:00 AM,065XX S TALMAN AVE,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,RESIDENCE,N,Y,831,17,17,1159834,1861175,41.774772663,-87.689625681,"(41.774772663, -87.689625681)"
JC132804,01/19/2019 11:00:00 PM,102XX S AVENUE M,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,432,10,08B,1201495,1837768,41.709585083,-87.537698669,"(41.709585083, -87.537698669)"
JC153787,01/25/2019 06:30:00 AM,028XX S ST LOUIS AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1032,22,06,1153493,1884992,41.840257718,-87.712240089,"(41.840257718, -87.712240089)"
JC153976,01/30/2019 11:00:00 AM,024XX W THORNDALE AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,N,N,2011,40,08B,1158821,1939098,41.988621364,-87.691201861,"(41.988621364, -87.691201861)"
JC124316,01/19/2019 12:00:00 PM,064XX S HONORE ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,726,15,05,1165121,1861908,41.776673882,-87.670223549,"(41.776673882, -87.670223549)"
JC154915,01/19/2019 02:00:00 PM,023XX N ELSTON AVE,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",COMMERCIAL / BUSINESS OFFICE,N,N,1432,32,11,1163254,1915486,41.923736539,-87.675563413,"(41.923736539, -87.675563413)"
JC156017,01/16/2019 08:00:00 PM,030XX N CLARK ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,N,N,1934,44,11,1170624,1920402,41.937067941,-87.648339055,"(41.937067941, -87.648339055)"
JC156016,01/16/2019 08:00:00 PM,030XX N CLARK ST,0820,THEFT,$500 AND UNDER,RESTAURANT,N,N,1934,44,06,1170624,1920402,41.937067941,-87.648339055,"(41.937067941, -87.648339055)"
JC137016,01/31/2019 09:00:00 PM,044XX N CLIFTON AVE,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,APARTMENT,N,Y,1913,46,17,1167846,1929624,41.962433949,-87.658281613,"(41.962433949, -87.658281613)"
JC153384,01/07/2019 09:10:00 AM,0000X W MONROE ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,N,N,112,42,26,1175804,1899905,41.880708104,-87.629919733,"(41.880708104, -87.629919733)"
JC124462,01/21/2019 01:00:00 PM,032XX W 53RD ST,0810,THEFT,OVER $500,APARTMENT,N,N,822,14,06,1155721,1869301,41.797155079,-87.704485574,"(41.797155079, -87.704485574)"
JC153533,01/16/2019 06:00:00 PM,063XX N NORMANDY AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,OTHER,N,N,1611,41,10,1130918,1941769,41.996479039,-87.793771864,"(41.996479039, -87.793771864)"
JC153303,01/08/2019 12:01:00 AM,035XX W WALNUT ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1123,28,11,1152821,1901467,41.8854803,-87.714270133,"(41.8854803, -87.714270133)"
JC155767,01/08/2019 10:40:00 AM,0000X W TERMINAL ST,0820,THEFT,$500 AND UNDER,AIRCRAFT,N,N,1651,41,06,1100317,1935229,41.979006297,-87.906463155,"(41.979006297, -87.906463155)"
JC153517,01/29/2019 08:00:00 PM,037XX S WABASH AVE,0460,BATTERY,SIMPLE,APARTMENT,N,N,213,3,08B,1177347,1880006,41.826069047,-87.624856894,"(41.826069047, -87.624856894)"
JC123236,01/20/2019 05:45:00 AM,040XX W 59TH ST,0820,THEFT,$500 AND UNDER,CONVENIENCE STORE,Y,N,813,23,06,1150629,1865174,41.785930664,-87.723266186,"(41.785930664, -87.723266186)"
JC135159,01/30/2019 05:30:00 PM,069XX S WABASH AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,322,6,05,1177926,1858960,41.768303717,-87.623370395,"(41.768303717, -87.623370395)"
JC153903,01/01/2019 12:01:00 AM,061XX N DRAKE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,1711,50,11,1151603,1940528,41.992690797,-87.717712796,"(41.992690797, -87.717712796)"
JC155990,01/27/2019 12:00:00 PM,063XX S SANGAMON ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,N,N,723,16,17,1171068,1862678,41.778658948,-87.648399635,"(41.778658948, -87.648399635)"
JC100105,01/01/2019 01:30:00 AM,016XX W SHERWIN AVE,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,RESIDENCE,N,Y,2423,49,17,1164265,1948722,42.014916096,-87.670904385,"(42.014916096, -87.670904385)"
JC153789,01/03/2019 01:30:00 PM,049XX W POTOMAC AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2533,37,11,1143134,1908196,41.90413171,-87.749674916,"(41.90413171, -87.749674916)"
